breeder,current_owner,reg_no,name,dob,dod,sex,sire,dam,notes,image,min_milk_yield,max_milk_yield,avg_milk_yield,height_to_withers,first_prize,second_prize,third_prize
Cappanuke,,OE000008,Agatha of Cappanuke,01/03/1998,,female,Galloway Feral,Galloway Feral,"Arrived on 19 April from  Galloway Goat Park before cull.  Became very distraught after loss of grandson.  Suffering from depression, had to be put down as she became a danger to the flock.  Should never have been taken from the hill.",,,,,,False,False,False
Angrholm,,OE000232,Angrholm Bracken,03/04/10,,female,Clarkshill Sam,Whernside Ruby,transferred to Ostrich World,,,,,,False,False,False
Angrholm,,OE000263,Angrholm Cali,20/03/2012,,female,Clarkshill Littlebilly,Angrholm Rowan,,,,,,,False,False,False
Angrholm,,OE000231,Angrholm Fern,03/04/10,,female,Clarkshill Sam,Whernside Ruby,,,,,,,False,False,False
Angrholm,,OE000326,Angrholm Jinny,16/04/14,,female,Clarkshill Littlebilly,Angrholm Rowan,,,,,,,False,False,False
Angrholm,,OE000281,Angrholm Lomi,20/03/12,,female,Clarkshill Littlebilly,Angrholm Rowan,,,,,,,False,False,False
Angrholm,Angrholm,OE000337,Angrholm Nica,24/04/15,,female,Clarkshill Ted,Whernside Nellie,,,,,,,False,False,False
Angrholm,,OE000264,Angrholm Ria,23/04/12,,female,Clarkshill Sam,Whernside Nellie,,,,,,,False,False,False
Angrholm,,OE000230,Angrholm Rowan,31/03/10,,female,Clarkshill Sam,Whernside Quean,,,,,,,False,False,False
Angrholm,,OE000291,Angrholm Tanne,14/04/13,,female,Clarkshill SamClarkshill Sam,Whernside Nellie,,,,,,,False,False,False
Angrholm,,OE000325,Angrholm Tansy,08/04/14,,female,Clarkshill Littlebilly,Whernside Nellie,,,,,,,False,False,False
Angrholm,,OE000324,Angrholm Tilly,08/04/14,,female,Clarkshill Littlebilly,Whernside Nellie,,,,,,,False,False,False
Angrholm,,OE000290,Angrholm Vanya,14/04/13,,female,Clarkshill Sam,Whernside Nellie,,,,,,,False,False,False
Autumnwood,,OE000145,Autumn Juno,05/04/2008,,female,George of Clarkshill,Clarkshill Molly,,,,,,,False,False,False
Autumnwood,,OE000227,Autumnwood Anabelle,31/03/10,,female,Clarkshill Archie,Clarkshill Trinity,,,,,,,False,False,False
Autumnwood,,OE000226,Autumnwood Anousha,31/03/10,,female,Clarkshill Archie,Clarkshill Trinity,,,,,,,False,False,False
Broadwood,,OE000299,Broadwood Minnow,22/06/13,,female,Clarkshill Archie,Clarkshill Primrose,,,,,,,False,False,False
Broadwood,,OE000271,Broadwood Thistle,18/05/12,,female,Clarkshill Archie,Clarkshill Primrose,,,,,,,False,False,False
Brynatine,,OE000173,Brynatine Blackthorn,20/04/04,,female,Whernside Leonard,Sibthorpe Whitby,,,,,,,False,False,False
Brynatine,,OE000171,Brynatine Clover,29/12/05,,female,Whernside Leonard,Sherwood Jacqui,,,,,,,False,False,False
Brynatine,,OE000170,Brynatine Cowslip,29/12/05,,female,Whernside Leonard,Sherwood Jacqui,,,,,,,False,False,False
Brynatine,,OE000174,Brynatine Daisymay,25/04/06,,female,Whernside Leonard,Brynatine Jessica,,,,,,,False,False,False
Brynatine,,OE000214,Brynatine Fireweed,08/09,,female,Clarkshill Isaac,Brynatine Cowslip,,,,,,,False,False,False
Brynatine,,OE000215,Brynatine Flax,08/09,,female,Clarkshill Isaac,Brynatine Cowslip,,,,,,,False,False,False
Brynatine,,OE000213,Brynatine Foxglove,9,,female,Clarkshill Isaac,Brynatine Daisymay,,,,,,,False,False,False
Brynatine,,OE000212,Brynatine Gonkey,8/09,,male,Clarkshill Isaac,Brynatine Blackthorn,,,,,,,False,False,False
Brynatine,,OE000172,Brynatine Jessica,16/03/01,,female,Makepeace Poins,Sibthorpe Whitby,,,,,,,False,False,False
Cappanuke,,OE000054,Cappanuke 01,24/05/2005,,male,Cappanuke Cuthbert,Cappanuke Emma,"Born 0745 out of Emma by Cuthbert. Number reassigned
Breach birth.  Born with deformed shoulders and legs.  Put down by Vet",,,,,,False,False,False
Cappanuke,,OE000005,Cappanuke Alice,01/12/2003,,female,Robienne Cador,Meadowherb Primrose,"Born out of Elvina by Cad.  2nd of twin girls, twin sister was stillborn.
Became ill - stopped eating/drink - autopsy results - kidney failure",,,,,,False,False,False
Cappanuke,,OE000086,Cappanuke Amy,14/03/2006,,female,Cappanuke Cuthbert,Cappanuke Dorcas,Born 1436 out of Dorcas by Cuthbert,,,,,,False,False,False
Cappanuke,,OE000085,Cappanuke Arthur,14/03/2006,,male,Cappanuke Cuthbert,Cappanuke Dorcas,"Born 1433 out of Dorcas by Cuthbert
9 May - Suffered seizure @1925",,,,,,False,False,False
